date;project;readthroughput;writethroughput
2023-12-01T19:41:09+01:00;bridge-operator;437043;90439
2023-12-01T19:43:24+01:00;bridge-operator;403395;91833
2023-12-01T19:45:24+01:00;bridge-operator;363915;102604
2023-12-01T19:47:38+01:00;bridge-operator;367036;91593
2023-12-01T19:49:45+01:00;bridge-operator;362515;96551
2023-12-01T19:51:58+01:00;bridge-operator;398281;87684
2023-12-01T19:54:12+01:00;bridge-operator;462029;82555
2023-12-01T19:56:24+01:00;bridge-operator;388613;89411
2023-12-01T19:58:38+01:00;bridge-operator;376846;89238
2023-12-01T20:00:50+01:00;bridge-operator;379884;92844
