date;driver;scoreBitsPerSec
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415532605.58662
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9411660199.6814461
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9411939115.71143
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9413146879.5446243
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415986243.2752037
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415462271.98832
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415406292.01843
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9412294912.91934
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415862582.2893
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;9415224626.2464733
