date;driver;min_latency;max_latency;mean_latency;stddev_latency
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;24;1499;59.55;6.22
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;23;337;59.00;5.49
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;23;2179;59.67;6.35
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;23;1845;59.83;6.31
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;24;403;59.26;5.48
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;23;2419;59.16;7.04
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;25;2084;59.69;6.63
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;25;499;59.05;5.46
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;24;2172;59.18;6.20
2025-07-31T16:06:41+02:00;nerdctl-bypass4netns;25;685;59.34;5.41
